product_id,product_name,super_id,image,price,delivery_details,quantity,product_details
BathTowels1,"ESSENTIALS 
Urban Towel Range",coo22,/home/shyam/Desktop/pillowtalk/Bath Towels/BathTowels1.jpg,15,,1,"Urban Towel Range

400gsm, Combed Cotton. In 8 bright colours - Aqua, Orange, Emerald, Yellow, Pink, Blue, Coral and Green. Coordinates with the Essentials Urban Tufted Bath Mat. Available in:

Bath Towel: 68 x 137cm
Bath Sheet; 90 x 160cm
Hand Towel; 40 x 66cm
Washer: 30 x 30cm
Towelling Bath Mat: 50 x 80cm
Made in India."
BathTowels2,"MUSE 
Antalya Towel Range",coo22,/home/shyam/Desktop/pillowtalk/Bath Towels/BathTowels2.jpg,64.95,,1,"Antalya Towel Range

700gsm Turkish Zero-Twist Cotton. In 8 fashion colours - White, Latte, Grey, Black, Teal, Indigo, Magenta and Yellow. Coordinates with MUSE Chelsea Reversible Bath Mat and MUSE Ankara range. Available in:

Bath Towel 68x137cm
Bath Sheet 80x160cm
Hand Towel 40x65cm
Washer 30x30cm
Towelling Bath Mat 50x80cm
Made in Turkey."
BathTowels3,"ASPIRE 
Venice Bath Towels",coo22,/home/shyam/Desktop/pillowtalk/Bath Towels/BathTowels3.jpg,19,,1,"Venice Bath Towels

600gsm, Two-Ply Combed Cotton. In 6 fashion colours - Black, Tangerine, Periwinkle, Silver and Chartreuse. Coordinates with Aspire Venice Tufted Bath Mat. Selected colours coordinate with Aspire Venice and Bella ranges. Available in:

Bath Towel 68x137cm
Made in India."
BathTowels4,"MUSE 
Turkish Cotton Dipped Bath Towel ",coo22,/home/shyam/Desktop/pillowtalk/Bath Towels/BathTowels4.jpg,34.95,,1,"Turkish Cotton Dipped Bath Towel

600gsm, Combed Turkish Cotton. In 8 fashion colours - White, Black, Charcoal, Blue, Turquoise, Yellow, Tangerine and Poppy. Available in:

Bath Towel 68x137cm
Made in Turkey."
